SSC,Chemistry,HSC,Merit,JEE,Final,Admittance
92.55,79,84.62,93.252,81,0,1
89.3,91,84.8,32962,178,33,0
82.91,53,72.92,63.29849185,33,28,0
96.55,89,87.38,97.3452,113,35,0
89.27,69,80.62,92.64353457,86,18,0
75,50,61.69,37.46235679,15,24,0
82.91,51,72,53.57875486,23,28,0
85.27,70,80.77,72.43442899,37,31,0
79,53,75.69,55.6425723,24,15,0
89.09,66,76.15,78.07197976,53,45,1
96.4,95,94,95.6475,115,51,1
95.27,74,87.08,92.97651229,85,41,1
78,45,62.15,65.37697565,72,24,0
84.18,56,76.92,73.42334092,45,36,1
88.55,59,73.85,67.86645329,39,30,0
92,77,79.69,91.2743,77,35,0
93.27,90,89.69,91.12081267,69,46,1
92.8,67,67.69,49.97025154,24,25,0
81.82,56,63.38,60.06994354,44,34,0
91,66,73.6,68.20790436,58,25,0
91.8,95,91.8,96.3592,137,41,1
95.8,66,85.85,94.63365174,101,44,1
81.64,62,73.85,76.68652935,46,28,0
86.73,73,83.08,96.791,122,43,1
92.4,73,76.46,91.0609,104,38,1
90.73,74,81.23,95.05721131,108,45,1
75.67,45,66.31,54.31548406,31,28,0
94.73,62,77.85,87.76463836,70,42,1
90.55,73,86.46,92.70778596,82,41,1
74.36,70,68.92,69.69820398,35,33,0
86.18,59,72.62,66.88425354,34,28,0
88.55,51,64.15,19.63611963,4,26,0
87.82,62,74.77,70.28227885,36,36,1
80.91,60,65.23,72.494561,45,26,0
94.18,82,89.38,93.21553496,80,40,1
86.73,68,75.54,69.83580802,35,26,0
87.8,73,79.08,90.55214126,81,31,0
88,76,86.15,92.86524432,87,24,0
91.82,79,83.23,88.93454829,65,44,1
90.36,51,71.54,58.10088456,29,16,0
91.82,80,88,93.25063597,79,32,0
87.82,88,88,95.9596,99,42,1
90.67,95,90.8,89.14831074,74,50,1
77.09,67,75.08,90.59922496,91,33,0
90.36,66,78.92,76.33234475,43,48,1
89.64,70,77.69,88.3701,72,36,1
91.45,71,84.77,92.30721454,80,40,1
87.45,69,78.46,61.70035543,21,27,0
85.27,69,79.08,70.94621156,33,30,0
84.67,71,79.38,60.84665214,24,43,1
96.73,91,91.69,25382,93,45,1
93.27,82,85.69,87.45659031,60,40,1
88.36,64,79.23,80.89430653,47,18,0
84.55,69,65.38,54.29218836,25,33,0
90.18,72,80.62,84.04567122,55,37,1
84,48,59.08,50.27503731,30,9,0
95.82,77,85.85,95.8772,108,39,1
90.18,58,73.85,71.98043642,39,41,1
84,64,79.08,55.20542564,19,29,0
91.2,78,84.15,94.00371491,89,47,1
78,71,67,53.5726003,43,35,0
76.18,48,58.15,57.86286875,44,29,0
80.8,52,63.23,61.33451493,50,36,1
77.27,55,71.23,71.23,0,34,0
92,80,85.38,91.61962216,76,45,1
79.8,61,69.2,42.58344874,32,39,1
95,94,90.6,84.63686249,74,28,0
89.64,62,83.69,94.88094406,119,24,0
92.91,57,74,82.38247819,69,36,1
83.45,60,77.69,82.18567168,52,41,1
95.45,79,92.31,85.44638538,54,38,1
93.6,93,90.2,91.16389925,124,47,1
81.64,75,81.69,80.25186142,46,47,1
72.62,47,63.85,31.33323548,9,24,0
89.64,53,68.46,73.31622387,51,24,0
87.64,76,80.62,60.27185821,21,37,1
74.4,59,69.08,74.47816653,47,25,0
89.45,66,77.23,68.55175659,33,25,0
83.5,93,83.4,88.8329,129,36,1
85.09,54,68.15,75.19285753,49,27,0
91.67,78,90.8,35676,167,48,1
90.73,69,77.85,90.2266013,87,33,0
89.5,78,69.69,90.145621,93,40,1
